,Judul Berita,Isi Berita
35,Tae-Yong: Ada Jurang Antara 'Starter' & Pemain Pengganti,"Pelatih timnas Indonesia U-20 Shin Tae-yong menilai masih ada perbedaan kualitas antara starting eleven dan pemain pengganti yang terlihat saat skuad Garuda Nusantara dibekap sepuluh penggawa Irak dengan skor 2-0 pada laga perdana Grup A Piala Asia U-20 2023, Rabu (1/3) malam WIB."
36,Pelatih Jeonnam Nilai Asnawi Nyaman Main Di Posisi Sayap,"Pelatih Jeonnam Dragons Lee Jang-kwan mengaku terpaksa menempatkan penggawa timnas Indonesia Asnawi Mangkualam Bahar sebagai pemain sayap ketika menghadapi FC Anyang 1-0 di Stadion Gwangyang Football, Rabu (1/3) siang WIB."
37,Guardiola: City Harus Lupakan Soal Treble,"APA YANG TERJADI? Manchester City masih berada di tiga kompetisi setelah meraih tiket ke perempat-final Piala FA pada Selasa (28/2) dengan mengalahkan Bristol City. Pasukan Pep Guardiola itu juga tetap bersaing di Liga Primer Inggris dan Liga Champions, tapi bos The Citizens menolak pembicaraan bahwa timnya bisa mendapatkan treble musim ini."
38,Jordi Amat & Saddil Ramdani Raih Hasil Positif Di Malaysia,"Dua penggawa timnas Indonesia Jordi Amat dan Saddil Ramdani mendapatkan hasil positif bersama klub masing-masing dalam lanjutan Malaysia Super League (MSL), Rabu (1/3) malam WIB."
39,United Beri Penghargaan Pada Casemiro 😍,"APA YANG TERJADI? Casemiro bergabung bersama mantan rekan setimnya, Luka Modric, dan Kevin De Bruyne dari Manchester City sebagai gelandang yang masuk ke dalam FIFPRO Best XI, yang diumumkan pada Senin (27/2). Untuk merayakan pencapaian tersebut, Manchester United meminta Casemiro untuk berpose bersama skuad sambil memegang trofi yang diberikan karena masuk dalam tim FIFPRO."
40,Timnas U-20 Tak Berdaya Di Hadapan Sepuluh Pemain Irak,APA YANG TERJADI?
41,"Piala Asia U-20 2023: Jadwal TV Lengkap, Hasil & Klasemen Timnas Indonesia","Tim nasional junior Indonesia bakal berkompetisi di Piala Asia U-20 2023 yang digelar di Uzbekistan, berlangsung pada 1-18 Maret 2023."
42,Laga Persija Versus Persib & Persebaya Kontra Arema Ditunda,Harapan publik sepakbola nasional untuk menyaksikan dua big match Liga 1 2022/23 pada akhir pekan ini kandas setelah PT Liga Indonesia Baru (LIB) menunda pertandingan antara Persija Jakarta dan Persib Bandung serta Persebaya Surabaya kontra Arema FC.
43,"£70 Juta Buat Casemiro, Neville: Itu Bukan Transfer Cerdas Dari United","APA YANG TERJADI?   Pemain internasional Brasil tersebut diboyong senilai £70 juta ($84 juta) oleh Manchester United dari Real Madrid pada musim panas lalu, menjadi rekrutan termahal keenam dalam sejarah klub. Setelah awalnya berjuang untuk beradaptasi dengan kehidupan di Inggris, Casemiro telah memantapkan dirinya sebagai kunci dari strategi Erik ten Hag. Dia juga menyumbang beberapa gol, termasuk satu gol dalam kemenangan di final Piala Liga melawan Newcastle United. Neville mengakui kalau sang gelandang telah membuat dampak besar di Old Trafford, tetapi merasa investasi besar klub pada pemain kepala tiga itu tidak masuk akal. Sebaliknya, dia ingin mantan klubnya fokus pada pemain muda seperti Lisandro Martinez dan Antony, yang masih memiliki potensi untuk berkembang lebih jauh lagi."
44,Legenda Prancis Pemegang Rekor Piala Dunia Wafat,"Dunia sepakbola berduka atas meninggalnya legenda Prancis, Just Fontaine setelah keluarganya mengumumkan kematiannya pada usia 89 tahun."
45,"Van Dijk Belum Maksimal, Klopp: Itu Normal...","APA YANG TERJADI?   Performa Virgil van Dijk dalam beberapa pertandingan terakhir telah membuat banyak pihak mulai mempertanyakan perannya di lini belakang. Memang, bos Liverpool Jurgen Klopp juga mengakui hal itu, tapi ia merasa kalau itu adalah hal yang normal mengingat bek asal Belanda tersebut baru kembali dari cedera hamstring yang membuatnya absen selama satu bulan."
46,Chelsea Disarankan Segera Pecat Potter!,"APA YANG TERJADI? Graham Potter berada di bawah tekanan bersama Chelsea, setelah hanya mampu membawa dua kemenangan dari 15 pertandingan Liga Primer Inggris."
47,Lima Alasan Kenapa Man United Bisa Raih Quadruple 🤯,"Setelah puasa gelar selama enam tahun, medioker dan perpecahan, Erik ten Hag membawa Piala Liga kembali ke Old Traffod untuk menetapkan langkah awal yang luar biasa untuk masa kerjanya."
48,Jadwal Siaran Langsung TV Hari Ini,Musim kompetisi 2022/23 di liga-liga Eropa dimulai! 
49,PSM Makin Jauh Dari Kejaran Persib & Persija,"APA YANG TERJADI? PSM Makassar makin tak terbendung dalam lanjutan Liga 1 musim 2022/23 dengan yang terbaru memetik kemenangan penting 2-0 atas Dewa United di Stadion Gelora BJ Habibie, Parepare, Rabu (1/3) sore WIB."
50,"""Perlu Rumah Saya Juga?"" - Ibra Sampai Rela Potong Gaji Demi Leao Tetap AC Milan","APA YANG TERJADI?   Rafael Leao saat ini tengah menjadi perbincangan publik usai tampil cemerlang bersama AC Milan dalam dua musim terakhir. Selain itu, kontraknya yang tersisa satu tahun lagi juga membuatnya dihubungkan dengan beberapa tim besar Eropa. Tetapi, sampai saat ini Rossoneri terus bekerja untuk bisa memperpanjang kontraknya. Bintang Milan yang baru come back Zlatan Ibrahimovic pun ikut angkat bicara terkait hal tersebut, mengakui dia sampai rela memotong gajinya demi Leao bisa bertahan di San Siro."
